Signal_case;Signal_record;Distance;Modality;Freq;Total;Percentage
484;S-Back-Towards;0-1M;Silent-Visual;10;18;0,55555556
507;S-Back-Towards;1-3M;Silent-Visual;5;18;0,27777778
530;S-Back-Towards;3-5M;Silent-Visual;2;18;0,11111111
553;S-Back-Towards;5-10M;Silent-Visual;1;18;0,05555556
163;T-Ear-Brush;0-1M;Tactile;5;5;1
3;A-Ear-Flapping;0-1M;Audible;88;272;0,32352941
26;A-Ear-Flapping;1-3M;Audible;26;272;0,09558824
49;A-Ear-Flapping;3-5M;Audible;18;272;0,06617647
72;A-Ear-Flapping;5-10M;Audible;45;272;0,16544118
95;A-Ear-Flapping;10-20M;Audible;51;272;0,1875
118;A-Ear-Flapping;20-50M;Audible;37;272;0,13602941
141;A-Ear-Flapping;50-100M;Audible;7;272;0,02573529
4;A-Ear-Slap;0-1M;Audible;1;15;0,06666667
27;A-Ear-Slap;1-3M;Audible;4;15;0,26666667
50;A-Ear-Slap;3-5M;Audible;1;15;0,06666667
73;A-Ear-Slap;5-10M;Audible;1;15;0,06666667
96;A-Ear-Slap;10-20M;Audible;5;15;0,33333333
119;A-Ear-Slap;20-50M;Audible;2;15;0,13333333
142;A-Ear-Slap;50-100M;Audible;1;15;0,06666667
488;S-Ear-Slight-Spread;0-1M;Silent-Visual;21;65;0,32307692
511;S-Ear-Slight-Spread;1-3M;Silent-Visual;7;65;0,10769231
534;S-Ear-Slight-Spread;3-5M;Silent-Visual;4;65;0,06153846
557;S-Ear-Slight-Spread;5-10M;Silent-Visual;11;65;0,16923077
580;S-Ear-Slight-Spread;10-20M;Silent-Visual;13;65;0,2
603;S-Ear-Slight-Spread;20-50M;Silent-Visual;7;65;0,10769231
626;S-Ear-Slight-Spread;50-100M;Silent-Visual;2;65;0,03076923
489;S-Ear-Spread;0-1M;Silent-Visual;33;99;0,33333333
512;S-Ear-Spread;1-3M;Silent-Visual;20;99;0,2020202
535;S-Ear-Spread;3-5M;Silent-Visual;6;99;0,06060606
558;S-Ear-Spread;5-10M;Silent-Visual;14;99;0,14141414
581;S-Ear-Spread;10-20M;Silent-Visual;15;99;0,15151515
604;S-Ear-Spread;20-50M;Silent-Visual;10;99;0,1010101
627;S-Ear-Spread;50-100M;Silent-Visual;1;99;0,01010101
490;S-Ears-Stiff;0-1M;Silent-Visual;43;149;0,2885906
513;S-Ears-Stiff;1-3M;Silent-Visual;12;149;0,08053691
536;S-Ears-Stiff;3-5M;Silent-Visual;9;149;0,06040268
559;S-Ears-Stiff;5-10M;Silent-Visual;21;149;0,1409396
582;S-Ears-Stiff;10-20M;Silent-Visual;30;149;0,20134228
605;S-Ears-Stiff;20-50M;Silent-Visual;29;149;0,19463087
628;S-Ears-Stiff;50-100M;Silent-Visual;5;149;0,03355705
491;S-Head-Raise;0-1M;Silent-Visual;6;29;0,20689655
514;S-Head-Raise;1-3M;Silent-Visual;5;29;0,17241379
560;S-Head-Raise;5-10M;Silent-Visual;5;29;0,17241379
583;S-Head-Raise;10-20M;Silent-Visual;9;29;0,31034483
606;S-Head-Raise;20-50M;Silent-Visual;3;29;0,10344828
629;S-Head-Raise;50-100M;Silent-Visual;1;29;0,03448276
171;T-Rubbing-Other;0-1M;Tactile;4;4;1
495;S-Rump-Present;0-1M;Silent-Visual;6;18;0,33333333
518;S-Rump-Present;1-3M;Silent-Visual;5;18;0,27777778
564;S-Rump-Present;5-10M;Silent-Visual;5;18;0,27777778
587;S-Rump-Present;10-20M;Silent-Visual;2;18;0,11111111
335;U-Tail-on-Side;0-1M;Unk;29;51;0,56862745
358;U-Tail-on-Side;1-3M;Unk;4;51;0,07843137
381;U-Tail-on-Side;3-5M;Unk;4;51;0,07843137
404;U-Tail-on-Side;5-10M;Unk;5;51;0,09803922
427;U-Tail-on-Side;10-20M;Unk;6;51;0,11764706
450;U-Tail-on-Side;20-50M;Unk;3;51;0,05882353
336;U-Tail-Raise;0-1M;Unk;20;47;0,42553191
359;U-Tail-Raise;1-3M;Unk;5;47;0,10638298
382;U-Tail-Raise;3-5M;Unk;2;47;0,04255319
405;U-Tail-Raise;5-10M;Unk;4;47;0,08510638
428;U-Tail-Raise;10-20M;Unk;6;47;0,12765957
451;U-Tail-Raise;20-50M;Unk;6;47;0,12765957
474;U-Tail-Raise;50-100M;Unk;4;47;0,08510638
337;U-Tail-Stiff;0-1M;Unk;11;40;0,275
360;U-Tail-Stiff;1-3M;Unk;4;40;0,1
383;U-Tail-Stiff;3-5M;Unk;3;40;0,075
406;U-Tail-Stiff;5-10M;Unk;8;40;0,2
429;U-Tail-Stiff;10-20M;Unk;7;40;0,175
452;U-Tail-Stiff;20-50M;Unk;6;40;0,15
475;U-Tail-Stiff;50-100M;Unk;1;40;0,025
177;T-Tail-Touch;0-1M;Tactile;10;10;1
339;U-Tail-Waggling;0-1M;Unk;25;107;0,23364486
362;U-Tail-Waggling;1-3M;Unk;12;107;0,11214953
385;U-Tail-Waggling;3-5M;Unk;10;107;0,09345794
408;U-Tail-Waggling;5-10M;Unk;17;107;0,1588785
431;U-Tail-Waggling;10-20M;Unk;23;107;0,21495327
454;U-Tail-Waggling;20-50M;Unk;17;107;0,1588785
477;U-Tail-Waggling;50-100M;Unk;3;107;0,02803738
502;S-Trunk-Reach;0-1M;Silent-Visual;31;50;0,62
525;S-Trunk-Reach;1-3M;Silent-Visual;5;50;0,1
