Signal_record;Rcp_Visual_Att;Freq;Total;Percentage
S-Back-Towards;Yes;14;18;0,777777778
S-Back-Towards;No;4;18;0,222222222
T-Ear-Brush;Yes;4;5;0,8
T-Ear-Brush;No;1;5;0,2
A-Ear-Flapping;Yes;221;266;0,830827068
A-Ear-Flapping;No;45;266;0,169172932
A-Ear-Slap;Yes;14;15;0,933333333
A-Ear-Slap;No;1;15;0,066666667
S-Ear-Slight-Spread;Yes;57;64;0,890625
S-Ear-Slight-Spread;No;7;64;0,109375
S-Ear-Spread;Yes;87;99;0,878787879
S-Ear-Spread;No;12;99;0,121212121
S-Ears-Stiff;Yes;122;138;0,884057971
S-Ears-Stiff;No;16;138;0,115942029
S-Head-Raise;Yes;28;29;0,965517241
S-Head-Raise;No;1;29;0,034482759
S-Rump-Present;Yes;18;18;1
S-Rump-Present;No;0;18;0
T-Rubbing-Other;Yes;4;4;1
T-Rubbing-Other;No;0;4;0
U-Tail-on-Side;Yes;22;41;0,536585366
U-Tail-on-Side;No;19;41;0,463414634
U-Tail-Raise;Yes;16;32;0,5
U-Tail-Raise;No;16;32;0,5
U-Tail-Stiff;Yes;16;27;0,592592593
U-Tail-Stiff;No;11;27;0,407407407
T-Tail-Touch;Yes;3;10;0,3
T-Tail-Touch;No;7;10;0,7
U-Tail-Waggling;Yes;36;62;0,580645161
U-Tail-Waggling;No;26;62;0,419354839
S-Trunk-Reach;Yes;28;40;0,7
S-Trunk-Reach;No;12;40;0,3
U-Trunk-Reach_Touch_Unc;Yes;7;9;0,777777778
U-Trunk-Reach_Touch_Unc;No;2;9;0,222222222
S-Trunk-Shaking;Yes;10;14;0,714285714
S-Trunk-Shaking;No;4;14;0,285714286
S-Trunk-Side-Swinging;Yes;9;10;0,9
S-Trunk-Side-Swinging;No;1;10;0,1
S-Trunk-Swinging;Yes;7;9;0,777777778
S-Trunk-Swinging;No;2;9;0,222222222
