Signal_record;Sgn_gaze;Freq;Total;Percentage
S-Back-Towards;Yes;15;18;0,833333333
S-Back-Towards;No;3;18;0,166666667
T-Ear-Brush;Yes;5;5;1
T-Ear-Brush;No;0;0;0
A-Ear-Flapping;Yes;245;270;0,907407407
A-Ear-Flapping;No;25;270;0,092592593
A-Ear-Slap;Yes;13;14;0,928571429
A-Ear-Slap;No;1;14;0,071428571
S-Ear-Slight-Spread;Yes;55;63;0,873015873
S-Ear-Slight-Spread;No;8;63;0,126984127
S-Ear-Spread;Yes;91;99;0,919191919
S-Ear-Spread;No;8;99;0,080808081
S-Ears-Stiff;Yes;135;148;0,912162162
S-Ears-Stiff;No;13;148;0,087837838
S-Head-Raise;Yes;26;29;0,896551724
S-Head-Raise;No;3;29;0,103448276
S-Rump-Present;Yes;15;18;0,833333333
S-Rump-Present;No;3;18;0,166666667
T-Rubbing-Other;Yes;4;4;1
T-Rubbing-Other;No;0;4;0
U-Tail-on-Side;Yes;41;51;0,803921569
U-Tail-on-Side;No;10;51;0,196078431
U-Tail-Raise;Yes;43;47;0,914893617
U-Tail-Raise;No;4;47;0,085106383
U-Tail-Stiff;Yes;35;40;0,875
U-Tail-Stiff;No;5;40;0,125
T-Tail-Touch;Yes;4;10;0,4
T-Tail-Touch;No;6;10;0,6
U-Tail-Waggling;Yes;90;105;0,857142857
U-Tail-Waggling;No;15;105;0,142857143
S-Trunk-Reach;Yes;39;40;0,975
S-Trunk-Reach;No;1;40;0,025
U-Trunk-Reach_Touch_Unc;Yes;10;10;1
U-Trunk-Reach_Touch_Unc;No;0;10;0
S-Trunk-Shaking;Yes;12;15;0,8
S-Trunk-Shaking;No;3;15;0,2
S-Trunk-Side-Swinging;Yes;9;10;0,9
S-Trunk-Side-Swinging;No;1;10;0,1
S-Trunk-Swinging;Yes;10;10;1
S-Trunk-Swinging;No;0;10;0
