File_name;Com_number;S_number;Signal;S_start_T;S_end_T;S_duration;S_Dur_ana;Signal_record;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
ZEWACT_081121_Exp1;VEC0001a;VEG0001;Gesture;280700;283800;3100;Include;Ear-Flapping;Audible;Ear;2;Unk;NV;App_Undir;10_20;None;B;Ear;VA_front;In front;VA_front;NA;NA;NA;NA;MN;26;Male;Travel;Travel;None;Unk;DM;46;Male;0,160529737;Same;NA;280700;NV;284000;Unk;284701;Ear-Flapping
ZEWACT_081121_Exp1;VEC0001b;VEG0002;Gesture;284701;285921;1220;Include;Ear-Flapping;Audible;Ear;1;Unk;NV;App_Undir;3_5;None;Unk;NV;VA_front;In front;VA_90;NA;NA;NA;NA;DM;46;Male;Travel;Listening;None;Trv_sgn;MN;26;Male;0,160529737;Same;travel initiation?;286990;Goal_rcp;274400;Unk;280700;Ear-Flapping
ZEWACT_081121_Exp1;VEC0001b;VEG0553;Gesture;278760;284640;5880;Include;Ear-Slight-Spread;Visual;Ear;NV;No;NV;App_Undir;5_10;None;B;NV;VA_front;In front;VA_front;NA;NA;NA;NA;DM;46;Male;Travel;Listening;None;Trv_sgn;MN;26;Male;0,160529737;Same;travel initiation?;286990;Goal_rcp;274400;Unk;280700;Ear-Flapping
ZEWACT_081121_Exp1;VEC0001b;VEG0554;Gesture;285931;288731;2800;Include;Ear-Slight-Spread;Visual;Ear;NV;No;NV;App_Undir;3_5;None;B;NV;VA_front;In front;VA_90;NA;NA;NA;NA;DM;46;Male;Travel;Listening;None;Trv_sgn;MN;26;Male;0,160529737;Same;travel initiation?;286990;Goal_rcp;274400;Unk;280700;Ear-Flapping
ZEWACT_081121_Exp1;VEC0001b;VEG0003;Gesture;285555;287401;1846;Include;Foot-Swinging;Visual;Front_limb;1;No;NV;App_Undir;3_5;None;L;NV;VA_front;In front;VA_90;NA;NA;NA;ponting!;DM;46;Male;Travel;Listening;None;Trv_sgn;MN;26;Male;0,160529737;Same;travel initiation?;286990;Goal_rcp;274400;Unk;280700;Ear-Flapping
ZEWACT_081121_Exp1;VEC0002;VEG0004;Gesture;310906;312211;1305;Include;Ear-Flapping;Audible;Ear;1;Yes;NV;App_Undir;5_10;None;R;NV;VA_90;Perpendicular;VA_90;NA;NA;NA;NA;DM;46;Male;Rest;Travel;None;Unk;MN;26;Male;0,160529737;Same;NA;302172;Exclude;302172;None;302172;None
ZEWACT_081121_Exp1;VEC0002;VEG0005;Gesture;319266;323839;4573;Include;Trunk-Self-Touch;Visual;Trunk;NV;No;Ear;App_Undir;5_10;None;NV;NV;VA_front;In front;VA_front;NA;NA;NA;NA;DM;46;Male;Rest;Travel;None;Unk;MN;26;Male;0,160529737;Same;NA;302172;Exclude;302172;None;302172;None
ZEWACT_081121_Exp1;VEC0004a;VEG0006;Gesture;957588;970293;12705;Exclude_start;Ear-Flapping;Audible;Ear;Unk;Yes;Neck;App_Undir;5_10;None;B;NV;VA_front;In front;No_VA;NA;NA;NA;NA;MN;26;Male;Unk;Affiliation;Temp_gland_secr;Aff_contact;DM;46;Male;0,160529737;Same;Unk who vocalizes loudly here. Possibly Doma. Regarding ear-flaps and rumbles from 16.10 I don´t know if recipient is Doma or herd approaching so not marked but first ones until herd appeared may be directed to Doma.;972630;NV;961900;Rumble;962926;Unk
ZEWACT_081121_Exp1;VEC0004a;VEG0551;Gesture;970293;971820;1527;Include;Ears-Stiff;Visual;Ear;NV;NV;NV;App_Undir;u_0;None;B;NV;No_VA;Behind;VA_front;NA;NA;NA;NA;MN;26;Male;Unk;Affiliation;Temp_gland_secr;Aff_contact;DM;46;Male;0,160529737;Same;Unk who vocalizes loudly here. Possibly Doma. Regarding ear-flaps and rumbles from 16.10 I don´t know if recipient is Doma or herd approaching so not marked but first ones until herd appeared may be directed to Doma.;972630;NV;961900;Rumble;962926;Unk
ZEWACT_081121_Exp1;VEC0004a;VEG0552;Gesture;973800;979240;5440;Include;Ear-Flapping;Audible;Ear;4;Yes;Unclear;App_Undir;u_0;None;B;NV;No_VA;Behind;VA_front;NA;NA;NA;NA;MN;26;Male;Unk;Affiliation;Temp_gland_secr;Aff_contact;DM;46;Male;0,160529737;Same;Unk who vocalizes loudly here. Possibly Doma. Regarding ear-flaps and rumbles from 16.10 I don´t know if recipient is Doma or herd approaching so not marked but first ones until herd appeared may be directed to Doma.;972630;NV;961900;Rumble;962926;Unk
ZEWACT_081121_Exp1;VEC0004a;VEG0007;Gesture;958280;967160;8880;Exclude_start;Trunk-Shaking;Visual;Trunk;10;No;NV;App_Undir;5_10;None;NV;NV;VA_front;In front;No_VA;NA;NA;NA;NA;MN;26;Male;Unk;Affiliation;Temp_gland_secr;Aff_contact;DM;46;Male;0,160529737;Same;Unk who vocalizes loudly here. Possibly Doma. Regarding ear-flaps and rumbles from 16.10 I don´t know if recipient is Doma or herd approaching so not marked but first ones until herd appeared may be directed to Doma.;972630;NV;961900;Rumble;962926;Unk
