Signal_record_1;Signal_record_2
Tail-on-Side;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Tail-Raise;Rumble
Tail-Waggling;Rumble
Back-Towards;Trumpet
Rump-Present;Rumble
Ear-Slap;Rumble
Ear-Spread;Rumble
Ear-Slight-Spread;Rumble
Rump-Present;Rumble
Ear-Spread;Roar
Ear-Flapping;Rumble
Tail-Waggling;Rumble
Ear-Slight-Spread;Rumble
Ear-Flapping;Rumble
Ear-Spread;Rumble
Ear-Slight-Spread;Rumble
Ear-Flapping;Rumble
Tail-Waggling;Rumble
Tail-Waggling;Rumble
Head-Raise;Rumble
Ear-Slap;Rumble
Ear-Flapping;Rumble
Tail-Waggling;Trumpet
Trunk-Reach_Touch_Unc;Rumble
Ear-Slight-Spread;Rumble
Ear-Spread;Rumble
Ear-Flapping;Rumble
Tail-on-Side;Rumble
Rump-Present;Rumble
Tail-Waggling;Roar
Tail-on-Side;Rumble
Back-Towards;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Roar
Ear-Flapping;Rumble
Ear-Slight-Spread;Rumble
Tail-Stiff;Rumble
Ear-Slight-Spread;Rumble
Ear-Slight-Spread;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Trunk-Swinging;Rumble
Trunk-Reach_Touch_Unc;Rumble
Ears-Stiff;Rumble
Ear-Spread;Rumble
Ear-Slap;Roar
Ear-Slight-Spread;Rumble
Ear-Spread;Rumble
Trunk-Reach;Roar
Trunk-Shaking;Rumble
Tail-Stiff;Rumble
Tail-on-Side;Roar
Tail-on-Side;Rumble
Tail-Raise;Rumble
Tail-Waggling;Rumble
Ear-Flapping;Rumble
Head-Raise;Rumble
Tail-on-Side;Rumble
Back-Towards;Rumble
Ear-Spread;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Tail-Waggling;Rumble
Back-Towards;Rumble
Ear-Flapping;Rumble
Ear-Slight-Spread;Rumble
Ear-Spread;Rumble
Tail-Waggling;Rumble
Trunk-Swinging;Rumble
Ears-Stiff;Rumble
Ear-Spread;Rumble
Ear-Flapping;Rumble
Ear-Brush;Rumble
Tail-on-Side;Rumble
Ears-Stiff;Rumble
Trunk-Shaking;Rumble
Trunk-Reach_Touch_Unc;Rumble
Ears-Stiff;Rumble
Ear-Spread;Trumpet
Ear-Flapping;Rumble
Ears-Stiff;Rumble
Ear-Flapping;Rumble
Ears-Stiff;Rumble
Ears-Stiff;Rumble
Tail-Waggling;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Ears-Stiff;Rumble
Ear-Flapping;Rumble
Tail-Raise;Roar
Tail-Raise;Rumble
Tail-Raise;Rumble
Tail-Waggling;Rumble
Back-Towards;Rumble
Trunk-Reach;Rumble
Tail-Stiff;Rumble
Trunk-Side-Swinging;Rumble
Trunk-Reach;Rumble
Trunk-Reach;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Tail-Waggling;Rumble
Tail-Stiff;Rumble
Ear-Spread;Rumble
Back-Towards;Rumble
Ear-Spread;Trumpet
Ear-Slight-Spread;Rumble
Tail-Waggling;Trumpet
Trunk-Shaking;Rumble
Ear-Spread;Rumble
Back-Towards;Rumble
Head-Raise;Rumble
Trunk-Reach;Rumble
Ear-Flapping;Rumble
Ear-Spread;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Ear-Flapping;Rumble
Trunk-Side-Swinging;Rumble
Ear-Flapping;Rumble
