File_name;Com_number;diff_V_B;diff_1_2;Overlapping;S_number_1;Signal_1;S_start_T_1;S_end_T_1;S_duration_1;S_Dur_ana_1;Signal_record_1;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;S_number_2;Signal_2;S_start_T_2;S_end_T_2;S_duration_2;S_Dur_ana_2;Signal_record_2;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
ZEWACT_081121_Exp2;VEC0005b;9454;9454;Yes;VEG0041;Gesture;133533;146241;12708;Include;Tail-on-Side;No;Unk;Yes;Seen in video who voc;VEV0008;Vocalisation;142987;146957;3970;Include;Rumble;Unk;Tail;NV;No;NV;App_Undir;1_3;None;NV;NV;No_VA;Behind;VA_90;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;HW;20;Female;0.375132225;Same;NA;128440;NV;112576;Ch_rumble_time_ex;124785;Unk
ZEWACT_081121_Exp2;VEC0005b;356;356;Yes;VEG0043;Gesture;142631;144186;1555;Include;Ear-Flapping;No;Unk;Yes;Seen in video who voc;VEV0008;Vocalisation;142987;146957;3970;Include;Rumble;Audible;Ear;1;Yes;Neck;App_Undir;1_3;None;B;NV;VA_90;Parallel;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;HW;20;Female;0.375132225;Same;NA;128440;NV;112576;Ch_rumble_time_ex;124785;Unk
ZEWACT_101121_Exp4;VEC0006a;92;92;Yes;VEG0055;Gesture;533408;534626;1218;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0015;Vocalisation;533500;539268;5768;Include;Rumble;Audible;Ear;1;Unk;Neck;App_Undir;u_0;None;B;NV;No_VA;Parallel;VA_front;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;534240;Goal_rcp;473440;Ch_rumble_time_inc;473611;Unk
ZEWACT_101121_Exp4;VEC0006a;3669;3669;Yes;VEG0058;Gesture;520751;527361;6610;Exclude_end;Tail-Raise;No;Yes;Yes;NA;VEV0013;Vocalisation;524420;528734;4314;Include;Rumble;Unk;Tail;NV;No;NV;App_Undir;10_20;None;NV;NV;VA_front;Perpendicular;VA_front;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;534240;Goal_rcp;473440;Ch_rumble_time_inc;473611;Unk
ZEWACT_101121_Exp4;VEC0006a;6139;6139;Yes;VEG0059;Gesture;527361;534300;6939;Include;Tail-Waggling;No;Yes;Yes;NA;VEV0015;Vocalisation;533500;539268;5768;Include;Rumble;Unk;Tail;6;No;NV;App_Undir;3_5;None;NV;NV;No_VA;Behind;VA_front;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;534240;Goal_rcp;473440;Ch_rumble_time_inc;473611;Unk
ZEWACT_101121_Exp4;VEC0006a;6763;6763;Yes;VEG0062;Gesture;522744;530800;8056;Include;Back-Towards;No;NV;Yes;NA;VEV0014;Vocalisation;529507;531267;1760;Include;Trumpet;Visual;Rump;NV;No;NV;Self_Loc;5_10;None;NV;NV;VA_front;In front;VA_front;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;534240;Goal_rcp;473440;Ch_rumble_time_inc;473611;Unk
ZEWACT_101121_Exp4;VEC0006a;1506;1506;Yes;VEG0063;Gesture;531994;534200;2206;Include;Rump-Present;No;Yes;Yes;NA;VEV0015;Vocalisation;533500;539268;5768;Include;Rumble;Visual;Rump;NV;No;NV;Self_Loc;u_0;None;NV;NV;Looking_Back;Parallel;VA_front;MN;26;Male;Feeding;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;TT;40;Female;0.178494222;Different;Tatu not in frame at beginning of greeting;534240;Goal_rcp;473440;Ch_rumble_time_inc;473611;Unk
ZEWACT_111121_Exp6;VEC0007a;54;54;Yes;VEG0070;Gesture;286826;288015;1189;Include;Ear-Slap;No;Unk;Yes;NA;VEV0019;Vocalisation;286880;290600;3720;Include;Rumble;Audible;Ear;1;Yes;Neck;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;MS;20;Female;0.137141714;Same;NA;305579;Goal_rcp;285040;Ch_rumble_time_inc;285040;Unk
ZEWACT_111121_Exp6;VEC0007b;586;586;Yes;VEG0076;Gesture;284454;287438;2984;Include;Ear-Spread;No;Unk;Yes;NA;VEV0020;Vocalisation;285040;287540;2500;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;MS;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_rcp;KB;20;Female;0.137141714;Same;NA;305680;Goal_sgn;286880;Ch_rumble_time_inc;286826;Ear-Flapping
ZEWACT_121121_Exp9_LG1;VEC0009b;460;460;Yes;VEG0116;Gesture;364200;366680;2480;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0030;Vocalisation;364660;369440;4780;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.21952885;Different;NA;364000;Time_ex_rcp;350000;Ch_rumble_time_inc;338880;Ear-Slap
ZEWACT_121121_Exp9_LG1;VEC0009b;1960;1960;Yes;VEG0119;Gesture;362700;367800;5100;Include;Rump-Present;No;Yes;Yes;NA;VEV0030;Vocalisation;364660;369440;4780;Include;Rumble;Visual;Rump;NV;No;NV;Self_Loc;1_3;None;NV;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.21952885;Different;NA;364000;Time_ex_rcp;350000;Ch_rumble_time_inc;338880;Ear-Slap
ZEWACT_141121_Exp10_LG1;VEC0010b;2301;2301;Yes;VEG0122;Gesture;309946;313120;3174;Include;Ear-Spread;Unk;Yes;Yes;NA;VEV0027;Vocalisation;312247;315237;2990;Include;Roar;Visual;Ear;NV;No;NV;App_Undir;0_1;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;314880;Goal_sgn;300920;Unk;302080;Unk
ZEWACT_141121_Exp10_LG1;VEC0010b;2087;2087;Yes;VEG0124;Gesture;316713;320000;3287;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0028;Vocalisation;318800;326088;7288;Include;Rumble;Audible;Ear;2;Yes;Neck;App_Undir;0;None;B;NV;VA_front;Perpendicular;No_VA;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;HW;20;Female;0.15680396;Different;NA;314880;Goal_sgn;300920;Unk;302080;Unk
